"","param","conf_lower","conf_upper","method","estimate","species","trait"
"131","rmax",67.0606016216422,75.4546740899703,"residual bootstrap",71.4950630164143,"Anthonomus grandis","juvenile mortality rate"
"132","topt",16.1510992299299,17.2745768952092,"residual bootstrap",16.633,"Anthonomus grandis","juvenile mortality rate"
"133","ctmin",5.5576216575959,8.06212037454863,"residual bootstrap",7.083,"Anthonomus grandis","juvenile mortality rate"
"134","ctmax",50.3321019468368,60.5446816032024,"residual bootstrap",55.171,"Anthonomus grandis","juvenile mortality rate"
"135","thermal_safety_margin",33.2995620522262,44.1537342555341,"residual bootstrap",38.538,"Anthonomus grandis","juvenile mortality rate"
"136","thermal_tolerance",43.6785433135833,53.8665114988041,"residual bootstrap",48.088,"Anthonomus grandis","juvenile mortality rate"
"137","breadth",6.37344144051102,7.71880399535485,"residual bootstrap",6.858,"Anthonomus grandis","juvenile mortality rate"
"138","r_tref",150.481521444435,309.759838100515,"residual bootstrap",199.802076013318,"Anthonomus grandis","juvenile mortality rate"
"139","e",2.69620115991669,4.33105728344287,"residual bootstrap",3.52535721807096,"Anthonomus grandis","juvenile mortality rate"
"140","eh",3.48028401584682,5.0284756377127,"residual bootstrap",4.20080383301845,"Anthonomus grandis","juvenile mortality rate"
"141","rmax",371.387627768017,514.347595265327,"residual bootstrap",433.952801328991,"Laricobius nigrinus","juvenile mortality rate"
"142","topt",9.00797394234981,10.9167147876045,"residual bootstrap",10.169,"Laricobius nigrinus","juvenile mortality rate"
"143","ctmin",2.991,5.289,"residual bootstrap",4.563,"Laricobius nigrinus","juvenile mortality rate"
"144","ctmax",30.4546548229621,55.427,"residual bootstrap",36.258,"Laricobius nigrinus","juvenile mortality rate"
"145","thermal_safety_margin",19.5371860480502,46.264,"residual bootstrap",26.089,"Laricobius nigrinus","juvenile mortality rate"
"146","thermal_tolerance",25.9335749730841,50.509,"residual bootstrap",31.695,"Laricobius nigrinus","juvenile mortality rate"
"147","breadth",3.83901977547668,5.61941512538308,"residual bootstrap",4.362,"Laricobius nigrinus","juvenile mortality rate"
"148","r_tref",29833.7680429133,22791477.0202051,"residual bootstrap",214759.142499664,"Laricobius nigrinus","juvenile mortality rate"
"149","e",3.6637062385208,8.82893118648554,"residual bootstrap",6.06808742513569,"Laricobius nigrinus","juvenile mortality rate"
"150","eh",4.97430179394261,9.44558316186141,"residual bootstrap",6.97666867000714,"Laricobius nigrinus","juvenile mortality rate"
"151","rmax",430.274584614594,645.52742993167,"residual bootstrap",547.533504532074,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"152","topt",16.0548432163623,16.621,"residual bootstrap",16.32,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"153","ctmin",14.2786577077473,14.7395678050616,"residual bootstrap",14.593,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"154","ctmax",31.396,41.5553326601833,"residual bootstrap",37.074,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"155","thermal_safety_margin",15.255,25.2502125037833,"residual bootstrap",20.754,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"156","thermal_tolerance",16.743,26.9525949498747,"residual bootstrap",22.481,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"157","breadth",2.05551678706895,3.14699277541936,"residual bootstrap",2.613,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"158","r_tref",76.3726224973338,146.30067211138,"residual bootstrap",116.483612277338,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"159","e",17.9057347045,32.9992437716741,"residual bootstrap",25.5539863916512,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"160","eh",19.1830681751077,35.0778263787611,"residual bootstrap",26.7035752599256,"Aubeonymus mariaefranciscae","juvenile mortality rate"
"161","rmax",63.6833635949285,90.6446946082191,"residual bootstrap",70.0420038406445,"Helicoverpa armigera","juvenile mortality rate"
"162","topt",15.9239031865446,21.9272377052709,"residual bootstrap",19.788,"Helicoverpa armigera","juvenile mortality rate"
"163","ctmin",-17.6141944235524,7.88963771575993,"residual bootstrap",1.801,"Helicoverpa armigera","juvenile mortality rate"
"164","ctmax",42.7181026598862,83.994861729393,"residual bootstrap",51.491,"Helicoverpa armigera","juvenile mortality rate"
"165","thermal_safety_margin",21.5706777343111,64.3400489173583,"residual bootstrap",31.703,"Helicoverpa armigera","juvenile mortality rate"
"166","thermal_tolerance",41.2246628046786,77.5756321398015,"residual bootstrap",49.69,"Helicoverpa armigera","juvenile mortality rate"
"167","breadth",7.12169080203487,12.8201718984995,"residual bootstrap",8.808,"Helicoverpa armigera","juvenile mortality rate"
"168","r_tref",51.0014487422495,3071.81666308227,"residual bootstrap",69.2250133568161,"Helicoverpa armigera","juvenile mortality rate"
"169","e",0.623921935438781,9.3829405017814,"residual bootstrap",1.54294410185221,"Helicoverpa armigera","juvenile mortality rate"
"170","eh",1.68903237845063,3.60488581920419,"residual bootstrap",2.43588897609559,"Helicoverpa armigera","juvenile mortality rate"
"171","rmax",79.3672430804947,129.073232096969,"residual bootstrap",104.230645274085,"Paracoccus marginatus","juvenile mortality rate"
"172","topt",15.7680539176015,17.7659241723404,"residual bootstrap",15.973,"Paracoccus marginatus","juvenile mortality rate"
"173","ctmin",11.5698871160542,14.6389460823985,"residual bootstrap",14.441,"Paracoccus marginatus","juvenile mortality rate"
"174","ctmax",55.0443622271719,83.6072210577738,"residual bootstrap",Inf,"Paracoccus marginatus","juvenile mortality rate"
"175","thermal_safety_margin",39.1141005592607,67.7278475509713,"residual bootstrap",Inf,"Paracoccus marginatus","juvenile mortality rate"
"176","thermal_tolerance",40.4916977438459,70.7889135397077,"residual bootstrap",Inf,"Paracoccus marginatus","juvenile mortality rate"
"177","breadth",3.95504886885882,18.6737919027079,"residual bootstrap",6.186,"Paracoccus marginatus","juvenile mortality rate"
"178","r_tref",40.9204383634412,314.312603685893,"residual bootstrap",91.9168718705094,"Paracoccus marginatus","juvenile mortality rate"
"179","e",6.48421837166218,42.2900110788792,"residual bootstrap",36.082780364105,"Paracoccus marginatus","juvenile mortality rate"
"180","eh",7.5216316927393,42.9742269199096,"residual bootstrap",36.3930484341192,"Paracoccus marginatus","juvenile mortality rate"
"181","rmax",402.129161110009,567.734391569092,"residual bootstrap",468.55462709387,"Halyomorpha halys","juvenile mortality rate"
"182","topt",29.2042870160471,29.253,"residual bootstrap",29.209,"Halyomorpha halys","juvenile mortality rate"
"183","ctmin",-2.74623207835414,9.786,"residual bootstrap",2.832,"Halyomorpha halys","juvenile mortality rate"
"184","ctmax",30.22,30.3824236826978,"residual bootstrap",30.327,"Halyomorpha halys","juvenile mortality rate"
"185","thermal_safety_margin",1.08,1.08,"residual bootstrap",1.118,"Halyomorpha halys","juvenile mortality rate"
"186","thermal_tolerance",21.224,33.2821085857274,"residual bootstrap",27.495,"Halyomorpha halys","juvenile mortality rate"
"187","breadth",2.258,3.11691048981248,"residual bootstrap",2.837,"Halyomorpha halys","juvenile mortality rate"
"188","r_tref",61.6115453657644,132.779777006554,"residual bootstrap",100.158336670096,"Halyomorpha halys","juvenile mortality rate"
"189","e",0.573563843905609,1.15420257493137,"residual bootstrap",0.824084226771151,"Halyomorpha halys","juvenile mortality rate"
"190","eh",51.3606483590204,51.8769902261338,"residual bootstrap",50.9968313039804,"Halyomorpha halys","juvenile mortality rate"
"191","rmax",276.387176581321,288.116644723089,"residual bootstrap",282.766363732193,"Muscidifurax raptorellus","juvenile mortality rate"
"192","topt",22.2610576234499,22.5228938690604,"residual bootstrap",22.394,"Muscidifurax raptorellus","juvenile mortality rate"
"193","ctmin",5.822,7.31304501069012,"residual bootstrap",6.686,"Muscidifurax raptorellus","juvenile mortality rate"
"194","ctmax",35.03,35.9312260417144,"residual bootstrap",35.483,"Muscidifurax raptorellus","juvenile mortality rate"
"195","thermal_safety_margin",12.4590653823899,13.6149732483203,"residual bootstrap",13.089,"Muscidifurax raptorellus","juvenile mortality rate"
"196","thermal_tolerance",27.9464037432018,29.7838837458995,"residual bootstrap",28.797,"Muscidifurax raptorellus","juvenile mortality rate"
"197","breadth",5.3128856095653,5.66628914450945,"residual bootstrap",5.464,"Muscidifurax raptorellus","juvenile mortality rate"
"198","r_tref",90.5577627652478,98.6648223562868,"residual bootstrap",95.1109315395728,"Muscidifurax raptorellus","juvenile mortality rate"
"199","e",1.51001887981769,1.71915999495439,"residual bootstrap",1.59775749725616,"Muscidifurax raptorellus","juvenile mortality rate"
"200","eh",3.83062698171944,4.06445932832331,"residual bootstrap",3.94165975415056,"Muscidifurax raptorellus","juvenile mortality rate"
"201","rmax",82.0821141542181,207.683855326582,"residual bootstrap",120.441276074243,"Aedes albopictus","juvenile mortality rate"
"202","topt",11.3785744845867,20.4102584676463,"residual bootstrap",17.163,"Aedes albopictus","juvenile mortality rate"
"203","ctmin",-5.8469021123937,10.0605716693771,"residual bootstrap",4.102,"Aedes albopictus","juvenile mortality rate"
"204","ctmax",28.6248470353787,77.9132202846032,"residual bootstrap",40.924,"Aedes albopictus","juvenile mortality rate"
"205","thermal_safety_margin",8.40974972744426,66.6407420512598,"residual bootstrap",23.761,"Aedes albopictus","juvenile mortality rate"
"206","thermal_tolerance",20.4889288573874,67.5731874147438,"residual bootstrap",36.822,"Aedes albopictus","juvenile mortality rate"
"207","breadth",3.66156874865956,11.15011403035,"residual bootstrap",6.504,"Aedes albopictus","juvenile mortality rate"
"208","r_tref",99.4167077983742,389688.774922716,"residual bootstrap",257.674458094569,"Aedes albopictus","juvenile mortality rate"
"209","e",-6.44965283851152,-0.4570308643467,"residual bootstrap",-1.13053352637974,"Aedes albopictus","juvenile mortality rate"
"210","eh",-5.72234605196782,-1.96204397345716,"residual bootstrap",-3.28722773662084,"Aedes albopictus","juvenile mortality rate"
"211","rmax",736.120516293924,790.954007648466,"residual bootstrap",758.576507075397,"Acyrthosiphon pisum","juvenile mortality rate"
"212","topt",11.311,11.311,"residual bootstrap",11.344,"Acyrthosiphon pisum","juvenile mortality rate"
"213","ctmin",9.668,9.668,"residual bootstrap",9.654,"Acyrthosiphon pisum","juvenile mortality rate"
"214","ctmax",20.565,22.0423920511587,"residual bootstrap",21.151,"Acyrthosiphon pisum","juvenile mortality rate"
"215","thermal_safety_margin",9.018,10.5909212521533,"residual bootstrap",9.807,"Acyrthosiphon pisum","juvenile mortality rate"
"216","thermal_tolerance",10.958,12.3217940032954,"residual bootstrap",11.497,"Acyrthosiphon pisum","juvenile mortality rate"
"217","breadth",1.743,1.85526352929926,"residual bootstrap",1.811,"Acyrthosiphon pisum","juvenile mortality rate"
"218","r_tref",245.05277851725,254.981899280991,"residual bootstrap",249.53547599144,"Acyrthosiphon pisum","juvenile mortality rate"
"219","e",-2.56784930012993,-2.15404373520042,"residual bootstrap",-2.34289225056075,"Acyrthosiphon pisum","juvenile mortality rate"
"220","eh",-25.2525152044379,-25.0961630226184,"residual bootstrap",-24.5415662809387,"Acyrthosiphon pisum","juvenile mortality rate"
"221","rmax",24.2761195455525,30.4853329929248,"residual bootstrap",27.1904515336986,"Aphis gossypii","juvenile mortality rate"
"222","topt",18.020092251556,21.4153830439819,"residual bootstrap",19.623,"Aphis gossypii","juvenile mortality rate"
"223","ctmin",-16.6610603958755,3.80656305124779,"residual bootstrap",-2.576,"Aphis gossypii","juvenile mortality rate"
"224","ctmax",37.6902027731677,57.1317525814542,"residual bootstrap",44.97,"Aphis gossypii","juvenile mortality rate"
"225","thermal_safety_margin",17.2066012043745,38.8327269867111,"residual bootstrap",25.347,"Aphis gossypii","juvenile mortality rate"
"226","thermal_tolerance",39.452346240788,58.0117944202994,"residual bootstrap",47.546,"Aphis gossypii","juvenile mortality rate"
"227","breadth",7.44315472393863,11.0376100421062,"residual bootstrap",8.929,"Aphis gossypii","juvenile mortality rate"
"228","r_tref",19.4742795487967,40.0379058827458,"residual bootstrap",26.0103207300532,"Aphis gossypii","juvenile mortality rate"
"229","e",0.640303416297283,2.03694227972333,"residual bootstrap",1.12903305166341,"Aphis gossypii","juvenile mortality rate"
"230","eh",1.8514869702861,2.73690942648321,"residual bootstrap",2.30418628374074,"Aphis gossypii","juvenile mortality rate"
"231","rmax",188.08889129631,412.341175717975,"residual bootstrap",203.856260421369,"Harmonia axyridis","juvenile mortality rate"
"232","topt",16.6232930835998,21.9810537223672,"residual bootstrap",20.812,"Harmonia axyridis","juvenile mortality rate"
"233","ctmin",-11.8326385056876,7.69904392787837,"residual bootstrap",-0.338000000000001,"Harmonia axyridis","juvenile mortality rate"
"234","ctmax",35.8187834723623,43.4023892517653,"residual bootstrap",38.977,"Harmonia axyridis","juvenile mortality rate"
"235","thermal_safety_margin",14.296415087135,24.2153003240378,"residual bootstrap",18.165,"Harmonia axyridis","juvenile mortality rate"
"236","thermal_tolerance",33.3458780981953,49.2457568775478,"residual bootstrap",39.315,"Harmonia axyridis","juvenile mortality rate"
"237","breadth",6.32584584683011,9.14528931287841,"residual bootstrap",7.41,"Harmonia axyridis","juvenile mortality rate"
"238","r_tref",117.613057418342,465.438379678263,"residual bootstrap",136.967403352027,"Harmonia axyridis","juvenile mortality rate"
"239","e",0.69154304880309,3.79634163562349,"residual bootstrap",1.14810941735589,"Harmonia axyridis","juvenile mortality rate"
"240","eh",2.43370323031996,3.165683349061,"residual bootstrap",2.84733218153622,"Harmonia axyridis","juvenile mortality rate"
"241","rmax",319.190613070614,559.130977117259,"residual bootstrap",361.666348590677,"Tribolium castaneum","juvenile mortality rate"
"242","topt",21.8488427672056,25.0953595451407,"residual bootstrap",23.163,"Tribolium castaneum","juvenile mortality rate"
"243","ctmin",7.58785528519933,18.26,"residual bootstrap",11.018,"Tribolium castaneum","juvenile mortality rate"
"244","ctmax",34.2898267229955,42.9705342629602,"residual bootstrap",38.936,"Tribolium castaneum","juvenile mortality rate"
"245","thermal_safety_margin",10.2606676455054,20.5446531206303,"residual bootstrap",15.773,"Tribolium castaneum","juvenile mortality rate"
"246","thermal_tolerance",16.967,31.5197084326412,"residual bootstrap",27.918,"Tribolium castaneum","juvenile mortality rate"
"247","breadth",2.799,5.78701903651942,"residual bootstrap",5.219,"Tribolium castaneum","juvenile mortality rate"
"248","r_tref",0.475178446164211,92.0581261915949,"residual bootstrap",65.2166827783678,"Tribolium castaneum","juvenile mortality rate"
"249","e",1.64402154065036,9.61814346837134,"residual bootstrap",2.27879310783686,"Tribolium castaneum","juvenile mortality rate"
"250","eh",3.55110090103792,11.2476400465049,"residual bootstrap",4.09044698739697,"Tribolium castaneum","juvenile mortality rate"
"251","rmax",73.2996959813059,119.78304016526,"residual bootstrap",97.3482539429727,"Tetranychus mcdanieli","juvenile mortality rate"
"252","topt",14.7475296408348,22.1397594258392,"residual bootstrap",17.52737398,"Tetranychus mcdanieli","juvenile mortality rate"
"253","ctmin",0.043884638807649,13.6770037040328,"residual bootstrap",9.23037398,"Tetranychus mcdanieli","juvenile mortality rate"
"254","ctmax",48.1335122162703,85.1198321712945,"residual bootstrap",65.70837398,"Tetranychus mcdanieli","juvenile mortality rate"
"255","thermal_safety_margin",29.3550406535183,69.0941601069365,"residual bootstrap",48.181,"Tetranychus mcdanieli","juvenile mortality rate"
"256","thermal_tolerance",39.0014607762087,74.5258315795401,"residual bootstrap",56.478,"Tetranychus mcdanieli","juvenile mortality rate"
"257","breadth",4.36207875343554,10.6386881363282,"residual bootstrap",7.111,"Tetranychus mcdanieli","juvenile mortality rate"
"258","r_tref",82.3961716908326,399.845852901537,"residual bootstrap",132.676589847967,"Tetranychus mcdanieli","juvenile mortality rate"
"259","e",-1.37716792404345,-0.288950105259575,"residual bootstrap",-0.549456690544983,"Tetranychus mcdanieli","juvenile mortality rate"
"260","eh",-54.4689038120137,-2.31003897078973,"residual bootstrap",-4.96586978835283,"Tetranychus mcdanieli","juvenile mortality rate"
